	album	artist	time	track
0	Dirt+Track+Date	Camel Walk	2016-12-02 00:00:00	Southern Culture On The Skids
1	Daryl+Hall+&+John+Oates	Camellia	2016-12-02 00:03:00	Hall & Oates
2	Decade	Campaigner	2016-12-02 00:05:00	Neil Young
3	Can+I+Change+My+Mind?	Can I Change My Mind	2016-12-02 00:09:00	Tyrone Davis
4	Greatest+Hits	Can I Get A Witness	2016-12-02 00:11:00	Marvin Gaye
5	Hermit+Of+Mink+Hollow	Can We Still Be Friends	2016-12-02 00:14:00	Todd Rundgren
6	Maggot+Brain	Can You Get to That	2016-12-02 00:19:00	Funkadelic
7	One+True+Vine	Can You Get to That	2016-12-02 00:22:00	Mavis Staples
8	Brick+By+Brick	Candy	2016-12-02 00:25:00	Iggy Pop
9	Cure+For+Pain	Candy	2016-12-02 00:29:00	Morphine
10	Our+Time+In+Eden	Candy Everybody Wants	2016-12-02 00:33:00	10,000 Maniacs
11	Darkness+On+The+Edge+Of+Town	Candy's Room	2016-12-02 00:36:00	Bruce Springsteen
12	O	Cannonball	2016-12-02 00:38:00	Damien Rice
13	Last+Splash	Cannonball	2016-12-02 00:42:00	The Breeders
14	Hand+On+The+Torch	Cantaloop	2016-12-02 00:45:00	Us 3
15	A+Hard+Day's+Night	Can't Buy Me Love	2016-12-02 00:49:00	The Beatles
16	Tuesday+Night+Music+Club	Can't Cry Any More	2016-12-02 00:52:00	Sheryl Crow
17	Pretty+Close+To+The+Truth	Can't Find Mary	2016-12-02 00:56:00	Jim Lauderdale
18	Blind+Faith	Can't Find My Way Home	2016-12-02 01:00:00	Blind Faith
19	Crossing+Jordan+(soundtrack)	Can't Find My Way Home	2016-12-02 01:03:00	Alison Krauss
20	Barry+White+Greatest+Hits	Can't Get Enough Of Your Love	2016-12-02 01:08:00	Barry White
21	Eldorado	Can't Get It Out Of My Head	2016-12-02 01:12:00	Electric Light Orchestra
22	Fables+Of+The+Reconstruction	Can't Get There From Here	2016-12-02 01:17:00	R. E. M.
23	I+Just+Can't+Stop+It	Can't Get Used To Losing You	2016-12-02 01:20:00	The English Beat
24	Pleased+To+Meet+Me	Can't Hardly Wait	2016-12-02 01:23:00	The Replacements
25	Elv1s+30+#1+Hits	Can't Help Falling In Love	2016-12-02 01:26:00	Elvis Presley
26	Car+Wheels+On+A+Gravel+Road	Can't Let Go	2016-12-02 01:30:00	Lucinda Williams
27	Summerteeth	Can't Stand It	2016-12-02 01:33:00	Wilco
28	Outlandos+D'amour	Can't Stand Losing You	2016-12-02 01:37:00	The Police
29	Colossal+Head	Can't Stop The Rain	2016-12-02 01:40:00	Los Lobos
30	Sticky+Fingers	Can't You Hear Me Knockin'	2016-12-02 01:43:00	The Rolling Stones
31	The+Marshall+Tucker+Band	Can't You See	2016-12-02 01:51:00	Marshall Tucker Band
32	Vampire+Weekend	Cape Cod Kwassa Kwassa	2016-12-02 01:57:00	Vampire Weekend
33	Are+You+Serious	Capsized	2016-12-02 02:01:00	Andrew Bird
34	Combat+Rock	Car Jamming	2016-12-02 02:05:00	The Clash
35	Court+&+Spark	Car On A Hill	2016-12-02 02:08:00	Joni Mitchell
36	Car+Wheels+On+A+Gravel+Road	Car Wheels On A Gravel Road	2016-12-02 02:13:00	Lucinda Williams
37	Moondance	Caravan	2016-12-02 02:17:00	Van Morrison
38	Blue	Carey	2016-12-02 02:22:00	Joni Mitchell
39	Shepherd+Moons	Caribbean Blue	2016-12-02 02:25:00	Enya
40	Shepherd+Moons	Caribbean Blue	2016-12-02 02:25:00	Enya
41	I+10+Chronicles	Carmelita	2016-12-02 02:29:00	Adam Duritz
42	Warren+Zevon	Carmelita	2016-12-02 02:33:00	Warren Zevon
43	Tigerlily	Carnival	2016-12-02 02:37:00	Natalie Merchant
44	Chuck+Berry+Is+On+Top	Carol	2016-12-02 02:43:00	Chuck Berry
45	Greatest+Hits	Carolina In My Mind	2016-12-02 02:46:00	James Taylor
46	Dragon+Fly	Caroline	2016-12-02 02:50:00	Jefferson Starship
47	Pet+Sounds	Caroline, No	2016-12-02 02:58:00	The Beach Boys
48	In+Through+The+Out+Door	Carouselambra	2016-12-02 03:00:00	Led Zeppelin
49	Ashes+Are+Burning	Carpet Of The Sun	2016-12-02 03:11:00	Renaissance
50	Acid+Tongue	Carpetbaggers	2016-12-02 03:15:00	Jenny Lewis
51	1967:+The+Beat+Goes+On	Carrie	2016-12-02 03:18:00	The Hollies
52	Gossamer	Carried Away	2016-12-02 03:21:00	Passion Pit
53	Wind+On+The+Water	Carry Me	2016-12-02 03:26:00	Crosby & Nash
54	Deja+Vu	Carry On	2016-12-02 03:29:00	Crosby Stills Nash & Young
55	4+Way+Street	Carry On	2016-12-02 03:33:00	Crosby Stills Nash & Young
56	Some+Nights	Carry On	2016-12-02 03:46:00	fun.
57	Abbey+Road	Carry That Weight	2016-12-02 03:51:00	The Beatles
58	The+Pleasure+Principle	Cars	2016-12-02 03:54:00	Gary Numan
59	L.A.+Woman	Cars Hiss By My Window	2016-12-02 03:57:00	The Doors
60	Workingman's+Dead	Casey Jones	2016-12-02 04:02:00	Grateful Dead
61	Ace	Cassidy	2016-12-02 04:06:00	Bob Weir
62	Axis:+Bold+As+Love	Castles Made Of Sand	2016-12-02 04:11:00	Jimi Hendrix
63	Why+Are+You+Ok	Casual Party	2016-12-02 04:14:00	Band Of Horses
64	Murmur	Catapult	2016-12-02 04:17:00	R. E. M.
65	single	Catch Me (I'm Falling)	2016-12-02 04:21:00	Pretty Poison
66	Awake+Is+The+New+Sleep	Catch My Disease	2016-12-02 04:25:00	Ben Lee
67	5+By+Five	Catch Us If You Can	2016-12-02 04:29:00	Dave Clark Five
68	Sisters	Cath	2016-12-02 04:31:00	The Bluebells
69	CSN	Cathedral	2016-12-02 04:35:00	Crosby Stills & Nash
70	Here+Comes+The+Groom	Cathy's New Clown	2016-12-02 04:41:00	John Wesley Harding
71	Verities+&+Balderdash	Cat's In The Cradle	2016-12-02 04:45:00	Harry Chapin
72	Verities+&+Balderdash	Cat's In The Cradle	2016-12-02 04:45:00	Harry Chapin
73	Cats+Under+The+Stars	Cats Under The Stars	2016-12-02 04:49:00	Jerry Garcia
74	Boys+For+Pele	Caught A Lite Sneeze	2016-12-02 04:55:00	Tori Amos
75	Cautionary+Tale	Cautionary Tale	2016-12-02 05:00:00	Dylan LeBlanc
76	Trey+Anastasio	Cayman Review	2016-12-02 05:04:00	Trey Anastasio
77	Bridge+Over+Troubled+Water	Cecilia	2016-12-02 05:09:00	Simon & Garfunkel
78	Five+Leaves+Left	Cello Song	2016-12-02 05:12:00	Nick Drake
