album	artist	time	track
Underground	Thelonious Monk	2016-08-16 00:59:00	Raise Four
Hot Sauce Committee Part Two	Beastie Boys	2016-08-16 02:58:00	Multilateral Nuclear Disarmament
Real	Lydia Loveless	2016-08-16 03:00:00	Longer
Quadrophenia	The Who	2016-08-16 03:04:00	The Punk Meets The Godfather
Greatest Hits	Aretha Franklin	2016-08-16 03:09:00	Rock Steady
The Shelters	The Shelters	2016-08-16 03:12:00	Rebel Heart
A Moon Shaped Pool	Radiohead	2016-08-16 03:16:00	Decks Dark
In Between Dreams	Jack Johnson	2016-08-16 03:20:00	Sitting, Waiting, Wishing
Lost Keys	Ben Arnold	2016-08-16 03:23:00	Nobody Hurtin' Like Me
Dolls of Highland	Kyle Craft	2016-08-16 03:28:00	Eye Of A Hurricane
Toulouse Street	The Doobie Brothers	2016-08-16 03:32:00	Jesus Is Just Alright With Me
Human Performance	Parquet Courts	2016-08-16 03:37:00	Berlin Got Blurry
Why Are You Ok	Band Of Horses	2016-08-16 03:40:00	In A Drawer
Yellow Moon	Neville Brothers	2016-08-16 03:44:00	Yellow Moon
Stiff	White Denim	2016-08-16 03:48:00	Ha Ha Ha Ha (Yeah)
Spirit	Amos Lee	2016-08-16 03:52:00	Vaporize
Ouroboros	Ray Lamontagne	2016-08-16 03:55:00	Hey No Pressure
Heart Like A Levee	Hiss Golden Messenger	2016-08-16 04:00:00	Biloxi
Mind, Body & Soul	Joss Stone	2016-08-16 04:03:00	Right To Be Wrong
Midnight Without You	Chris Botti	2016-08-16 04:07:00	Midnight Without You
Trace	Son Volt	2016-08-16 04:11:00	Tear Stained Eye
Crooked Rain Crooked Rain	Pavement	2016-08-16 04:16:00	Gold Soundz
Side Pony	Lake Street Dive	2016-08-16 04:18:00	I Don't Care About You
Rastaman Vibration	Bob Marley & The Wailers	2016-08-16 04:22:00	Positive Vibration
Times Have Changed	Katie Barbato	2016-08-16 04:25:00	Times Have Changed
Stephen Stills 2	Stephen Stills	2016-08-16 04:28:00	Change Partners
Changes	Charles Bradley	2016-08-16 04:31:00	Changes
You Are The Quarry	Morrissey	2016-08-16 04:37:00	Irish Blood, English Heart
Reggae Greats	Black Uhuru	2016-08-16 04:40:00	What Is Life
Reggae Greats	Black Uhuru	2016-08-16 04:40:00	What Is Life
Feeling Strangely Fine	Semisonic	2016-08-16 04:45:00	Secret Smile
A Head Full of Dreams	Coldplay	2016-08-16 04:49:00	Adventure Of A Lifetime
Sex & Drugs & Rock & Roll: The Best Of Ian Dury & The Blockheads	Ian Dury & The Blockheads	2016-08-16 04:53:00	Sex & Drugs & Rock & Roll
Laura	Diego Garcia	2016-08-16 04:56:00	All Eyes On You
Farmhouse	Phish	2016-08-16 05:00:00	Back On The Train
Let Me Get By	Tedeschi Trucks Band	2016-08-16 05:03:00	Anyhow
Court & Spark	Joni Mitchell	2016-08-16 05:09:00	Free Man In Paris
Signs Of Light	The Head And The Heart	2016-08-16 05:12:00	All We Ever Knew
2	Mudcrutch	2016-08-16 05:16:00	Dreams of Flying
Back To Mono - Phil Spector Collection	The Crystals	2016-08-16 05:20:00	Then He Kissed Me
Wincing The Night Away	The Shins	2016-08-16 05:22:00	Phantom Limb
K 2.0	Kula Shaker	2016-08-16 05:26:00	Let Love B (With U)
Light Upon The Lake	Whitney	2016-08-16 05:30:00	No Matter Where We Go
Straight Up	Badfinger	2016-08-16 05:33:00	Day After Day
Crime Of The Century	Supertramp	2016-08-16 05:36:00	Crime Of The Century
Sandinista!	The Clash	2016-08-16 05:41:00	Hitsville U.k.
Var: Threesome	General Public	2016-08-16 05:45:00	I'll Take You There
Heroes	David Bowie	2016-08-16 05:49:00	Heroes
Give It Back To You	The Record Company	2016-08-16 05:55:00	Rita Mae Young
