album	artist	release_year	time	track
The Best Of Motown 1960s - Volume 1	The Supremes		2016-12-01 00:00:00	Baby Love
Slave Ambient	The War On Drugs		2016-12-01 00:03:00	Baby Missiles
Mojo Hand: The Lightnin' Hopkins Anthology	Lightnin' Hopkins		2016-12-01 00:07:00	Baby Please Don't Go
(single)	Them		2016-12-01 00:09:00	Baby Please Don't Go
The Best Of Slim Harpo	Slim Harpo		2016-12-01 00:13:00	Baby Scratch My Back
Magical Mystery Tour	The Beatles		2016-12-01 00:16:00	Baby You're A Rich Man
The Best Of The Ronettes	The Ronettes		2016-12-01 00:19:00	Baby, I Love You
Night Food	The Heptones		2016-12-01 00:21:00	Baby, I Need Your Loving
Now That I've Found You: A Collection	Alison Krauss		2016-12-01 00:25:00	Baby, Now That I've Found You
Baby, Now That I've Found You	The Foundations		2016-12-01 00:29:00	Baby, Now That I've Found You
White Ladder	David Gray		2016-12-01 00:32:00	Babylon
Gaucho	Steely Dan		2016-12-01 00:36:00	Babylon Sisters
The Chess Box 2	Howlin' Wolf		2016-12-01 00:46:00	Back Door Man
The Doors	The Doors		2016-12-01 00:49:00	Back Door Man
Come Around Sundown	Kings Of Leon		2016-12-01 00:52:00	Back Down South
The Beatles	The Beatles		2016-12-01 00:57:00	Back In The U. S. S. R.
The Chuck Berry Box Set -disc 2	Chuck Berry		2016-12-01 01:00:00	Back In The USA
Back In The USA	MC5		2016-12-01 01:02:00	Back In The USA
The Con	Tegan And Sara		2016-12-01 01:05:00	Back In Your Head
Nils Lofgren	Nils Lofgren		2016-12-01 01:08:00	Back It Up
Photograph: The Very Best Of Ringo Starr	Ringo Starr		2016-12-01 01:11:00	Back Off Boogaloo
Learning To Crawl	The Pretenders		2016-12-01 01:14:00	Back On The Chain Gang
Farmhouse	Phish		2016-12-01 01:17:00	Back On The Train
Back Stabbers	The O'Jays		2016-12-01 01:20:00	Back Stabbers
Back To Me	Kathleen Edwards		2016-12-01 01:23:00	Back to Me
Room For Squares	John Mayer		2016-12-01 01:27:00	Back To You
Born To Run	Bruce Springsteen		2016-12-01 01:31:00	Backstreets
Too High To Die	Meat Puppets		2016-12-01 01:38:00	Backwater
The Unforgettable Fire	U2		2016-12-01 01:41:00	Bad
1989	Ryan Adams		2016-12-01 01:47:00	Bad Blood
Trouble In Mind	Hayes Carll		2016-12-01 01:52:00	Bad Liver And A Broken Heart
Somewhere Between Heaven And Hell	Social Distortion		2016-12-01 02:02:00	Bad Luck
I Wish I Was In Heaven Sitting Down	R. L. Burnside		2016-12-01 02:14:00	Bad Luck City (edit)
Bad Luck Streak In Dancing School	Warren Zevon		2016-12-01 02:19:00	Bad Luck Streak In Dancing School
Green River	Creedence Clearwater Revival		2016-12-01 02:22:00	Bad Moon Rising
Long Player	Faces		2016-12-01 02:24:00	Bad 'N' Ruin
This Perfect World	Freedy Johnston		2016-12-01 02:29:00	Bad Reputation
Bad Self Portraits	Lake Street Dive		2016-12-01 02:33:00	Bad Self Portraits
Katy Lied	Steely Dan		2016-12-01 02:36:00	Bad Sneakers
Tomorrow The Green Grass	The Jayhawks		2016-12-01 02:40:00	Bad Time
Bobby Fuller Died for Your Sins	Chuck Prophet		2016-12-01 02:44:00	Bad Year for Rock and Roll
Goodbye	Cream		2016-12-01 02:47:00	Badge
Darkness On The Edge Of Town	Bruce Springsteen		2016-12-01 02:50:00	Badlands
Elephant	The White Stripes		2016-12-01 02:55:00	Ball And Biscuit
Social Distortion	Social Distortion		2016-12-01 03:02:00	Ball And Chain
Express	Love And Rockets		2016-12-01 03:08:00	Ball Of Confusion
Walkin' In The Shadows Of Life	Neville Brothers		2016-12-01 03:12:00	Ball Of Confusion
Anthology Disc Two	The Temptations		2016-12-01 03:15:00	Ball Of Confusion
Highway 61 Revisited	Bob Dylan		2016-12-01 03:20:00	Ballad Of A Thin Man
Tumbleweed Connection	Elton John		2016-12-01 03:26:00	Ballad Of A Well
Ballad Of Easy Rider	The Byrds		2016-12-01 03:31:00	Ballad Of Easy Rider
Little Criminals	Randy Newman		2016-12-01 03:33:00	Baltimore
Electric Warrior	T Rex		2016-12-01 03:43:00	Bang A Gong (Get It On)
The Ever Popular Tortured Artist Effect	Todd Rundgren		2016-12-01 03:47:00	Bang The Drum All Day
Barabajagal	Donovan		2016-12-01 03:51:00	Barabajagal
Bare Trees	Fleetwood Mac		2016-12-01 03:55:00	Bare Trees
Duncan Sheik	Duncan Sheik		2016-12-01 04:01:00	Barely Breathing
Who's Next	The Who		2016-12-01 04:05:00	Bargain
Barton Hollow	The Civil Wars		2016-12-01 04:11:00	Barton Hollow
Tim	The Replacements		2016-12-01 04:15:00	Bastards Of Young
Logozo	Angelique Kidjo		2016-12-01 04:18:00	Batonga
Led Zeppelin Iv	Led Zeppelin		2016-12-01 04:23:00	Battle Of Evermore
Johnny Winter	Johnny Winter		2016-12-01 04:32:00	Be Careful With A Fool
Presenting The Fabulous Ronnettes Featuring Veronica	The Ronettes		2016-12-01 04:37:00	Be My Baby
Gordon	Barenaked Ladies		2016-12-01 04:40:00	Be My Yoko Ono
Runt: The Ballad Of Todd Rundgren	Todd Rundgren		2016-12-01 04:42:00	Be Nice To Me
Be OK	Ingrid Michaelson		2016-12-01 04:46:00	Be OK
Blue Lines	Massive Attack		2016-12-01 04:49:00	Be Thankful For What You Got
Blaxploitation Vol.3, The Payback	William DeVaughn		2016-12-01 04:53:00	Be Thankful For What You Got
Where There's Smoke There's Fire	Buckwheat Zydeco		2016-12-01 05:00:00	Beast Of Burden
Some Girls	The Rolling Stones		2016-12-01 05:04:00	Beast Of Burden
The Gift	The Jam		2016-12-01 05:08:00	Beat Surrender
All That You Can't Leave Behind	U2		2016-12-01 05:11:00	Beautiful Day
New Traditionalists	Devo		2016-12-01 05:15:00	Beautiful World
Heroes	David Bowie		2016-12-01 05:18:00	Beauty And The Beast
The Capitol Collectors Series: Gene Vincent	Gene Vincent		2016-12-01 05:22:00	Be
Abbey Road	The Beatles		2016-12-01 05:24:00	Because
The Bridge	Karl Denson's Tiny Universe		2016-12-01 05:27:00	Because Of Her Beauty
