album	artist	time	track
Singing The Blues	B. B. King	2016-12-15 00:00:00	Three O'Clock Blues
Three Of A Perfect Pair	King Crimson	2016-12-15 00:03:00	Three Of A Perfect Pair
Thriller	Michael Jackson	2016-12-15 00:07:00	Thriller
Brandi Carlile	Brandi Carlile	2016-12-15 00:15:00	Throw It All Away
Born To Run	Bruce Springsteen	2016-12-15 00:18:00	Thunder Road
Help!	The Beatles	2016-12-15 00:23:00	Ticket To Ride
A Day At The Races	Queen	2016-12-15 00:26:00	Tie Your Mother Down
Bewitched	Luna	2016-12-15 00:30:00	Tiger Lily
Carney	Leon Russell	2016-12-15 00:35:00	Tight Rope
In Step	Stevie Ray Vaughan	2016-12-15 00:38:00	Tight Rope
The Best Of Archie Bell	Archie Bell & The Drells	2016-12-15 00:43:00	Tighten Up
Brothers	The Black Keys	2016-12-15 00:46:00	Tighten Up
The ArchAndroid	Janelle Monae	2016-12-15 00:49:00	Tightrope
Outside Looking In	Gin Blossoms	2016-12-15 00:54:00	Til I Hear It From You
The Kink Kontroversy	The Kinks	2016-12-15 00:57:00	Til The End Of The Day
American Beauty	Grateful Dead	2016-12-15 01:00:00	Till The Morning Comes
It's Only Rock & Roll	The Rolling Stones	2016-12-15 01:03:00	Till The Next Goodbye
Dark Side Of The Moon	Pink Floyd	2016-12-15 01:09:00	Time
Time Has Come Today	Chambers Brothers	2016-12-15 01:16:00	Time Has Come Today
Five Leaves Left	Nick Drake	2016-12-15 01:27:00	Time Has Told Me
Healing	Todd Rundgren	2016-12-15 01:31:00	Time Heals
You Don't Mess Around with Jim	Jim Croce	2016-12-15 01:35:00	Time In A Bottle
Singles Collection	The Rolling Stones	2016-12-15 01:37:00	Time Is On My Side
Wish Someone Would Care	Irma Thomas	2016-12-15 01:40:00	Time Is On My Side
